ref#,relation,cql,concsize,count,freq min,freq max,freq mean,freq std,fpm min,fpm max,fpm mean,fpm std,rel min,rel max,rel mean,rel std
7,#1 HYPO is a type of HYPER,"2:[tag=""N.*""] [tag!=""V.*""]{0,7} [lemma=""be|,|:|belong|\(""] [tag!=""V.*""]{0,7} [lemma=""type|kind|example|group|class|sort|category|family|species|subtype|subfamily|subgroup|subclass|subcategory|subspecies""] [word=""of""] [tag!=""V.*""]{0,7} 1:[tag=""N.*""] within <s/>",15246.0,59,2.0,7506.0,1163.8135593220338,1843.0800165481642,0.06989087971894921,262.30047158521637,40.66997674492921,64.40724187448333,19.5,333.1,93.34915254237286,52.235106350770735
11,#2 type of HYPER includes/is HYPO,"([tag=""DT""]|[tag=""CD""]|[word=""some|several|any|various|distinct|different""]) [tag=""RB.*""]* [tag=""JJ.*""]* [lemma=""type|kind|example|group|class|sort|category|family|species|subtype|subfamily|subgroup|subclass|subcategory|subspecies""] [word=""of""] [tag!=""V.*|IN""]{0,5} 1:[tag=""N.*""] []{0,3} [lemma=""include|be""] [tag!=""V.*|IN.*""]{0,7} 2:[tag=""N.*""] within <s/>",1753.0,50,2.0,825.0,158.44,231.91326316675605,0.06989087971894921,28.829987884066547,5.536755491335156,8.104310990608381,9.2,534.0,103.73800000000001,95.22135948431327
15,#3 type of HYPER ranges from HYPO to HYPO,"([tag=""DT""]|[tag=""CD""]|[word=""some|several|any|various|distinct|different""]) [tag=""RB.*""]* [tag=""JJ.*""]* [lemma=""type|kind|example|group|class|sort|category|family|species|subtype|subfamily|subgroup|subclass|subcategory|subspecies""] [word=""of""] [tag!=""V.*|IN""]{0,5} 1:[tag=""N.*""] []{0,3} [lemma=""range""] [word=""from""] [(tag!=""V.*|IN.*|CD"")|word=""to""]{0,7} 2:[tag=""N.*""] within <s/>",26.0,18,2.0,20.0,6.333333333333333,5.520017050272047,0.06989087971894921,0.698908797189492,0.22132111911000582,0.19289942385355618,23.0,586.4,177.95555555555555,150.8636557106419
19,"#4 HYPER types?, ranging from HYPO to HYPO","1:[tag=""N.*""] [lemma=""type|kind|example|group|class|sort|category|family|species|subtype|subfamily|subgroup|subclass|subcategory|subspecies""]? "",|\(""? [word=""ranging""] [word=""from""] [(tag!=""V.*|IN.*|CD"")|word=""to""]{0,7} 2:[tag=""N.*""] within <s/>",846.0,48,1.0,382.0,77.04166666666667,113.91634824362622,0.034945439859474604,13.349158026319298,2.6922549291736892,3.980856896558605,9.5,323.7,82.80416666666666,69.22317579666428
23,#5 HYPER types include HYPO,"1:[tag=""N.*""] [lemma=""type|kind|example|group|class|sort|category|family|species|subtype|subfamily|subgroup|subclass|subcategory|subspecies""] "",|\(""? [word=""which""]? [tag=""MD""]* [lemma=""include""] [tag!=""V.*|CD""]* 2:[tag=""N.*""] within <s/>",321.0,37,1.0,143.0,39.83783783783784,46.857060130615146,0.034945439859474604,4.997197899904868,1.392150766293664,1.6374405767861968,6.2,328.8,102.75405405405404,78.712488754237
27,#6 HYPER such as HYPO,"1:[tag=""N.*""] [tag!=""V.*""]* [word=""such""] [word=""as""] [tag!=""V.*""]* 2:[tag=""N.*""] within <s/>",149298.0,59,14.0,73643.0,11429.406779661016,18042.17858253518,0.4892361580326444,2573.487027571288,399.4056472481153,630.4918665898839,13.8,257.1,90.83050847457629,44.45229234319173
31,#7 HYPER including HYPO,"1:[tag=""N.*""] [tag!=""V.*""]{0,5} [word=""including""] [tag!=""V.*""]* 2:[tag=""N.*""] within <s/>",73517.0,60,4.0,37352.0,5451.966666666666,8987.761394264202,0.13978175943789842,1305.2820696310953,190.52137326586023,314.08127527456725,11.8,459.3,94.42999999999999,73.18383006546492
35,"#8 HYPER, especially HYPO","1:[tag=""N.*""] [word="",|\(""] [word=""especially|primarily|namely|usually|typically|characteristically|generally|mainly""] [tag!=""V.*|IN""]* 2:[tag=""N.*""] within <s/>",6100.0,52,1.0,3192.0,533.9423076923077,814.8854223191723,0.034945439859474604,111.54584403144293,18.65884880189062,28.47652951801719,18.1,211.3,79.93076923076923,35.616605173746755
39,#9 HYPO and other HYPER,"2:[tag=""N.*""] [tag!=""V.*""]{0,7} [word=""and|or""] [word=""other""] [tag=""RB.*""]* [tag=""JJ.*""]* ([lemma=""type|kind|example|group|class|sort|category|family|species|subtype|subfamily|subgroup|subclass|subcategory|subspecies""] [word=""of""])? [tag!=""V.*""]{0,5} 1:[tag=""N.*""] within <s/>",30119.0,54,3.0,13844.0,2488.9074074074074,3725.735111805497,0.1048363195784238,483.7846694145664,86.97596412135641,130.19745228193187,15.2,888.9,103.81481481481481,118.17677900981592
43,#10 HYPO is defined/classified as HYPER,"2:[tag=""N.*""] [tag!=""V.*""]{0,5} [tag=""MD""]? [lemma=""be|,|\(""] [word!=""not""]? [word=""defined|classified|categori.ed|regarded""] [word=""as""] [tag=""DT.*|RB.*|JJ.*""]*  ([lemma=""type|kind|example|group|class|sort|category|family|species|subtype|subfamily|subgroup|subclass|subcategory|subspecies""] [word=""of""])? [tag!=""V.*""]{0,2} 1:[tag=""N.*"" & lemma!=""type|kind|example|group|class|sort|category|family|species|subtype|subfamily|subgroup|subclass|subcategory|subspecies""] within <s/>",6594.0,51,2.0,4509.0,601.6274509803922,1023.5242441834843,0.06989087971894921,157.568988326371,21.024135906044304,35.76750491982815,8.7,139.4,72.45294117647059,37.056871713306705
47,#11 x classify/regard/categorize HYPO as HYPER,"[lemma=""classify|regard|categori.e""] [tag!=""IN""](([tag=""DT""]|[word=""some|several|any|various|distinct|different""]) [tag!=""V.*""]* [lemma=""type|kind|example|group|class|sort|category|family|species|subtype|subfamily|subgroup|subclass|subcategory|subspecies""] [word=""of""])? [tag!=""V.*""]* 2:[tag=""N.*""] [word=""as""] [tag!=""V.*|IN""]* 1:[tag=""N.*""] within <s/>",176.0,39,1.0,83.0,20.333333333333332,24.54462459462821,0.034945439859474604,2.900471508336392,0.7105572771426504,0.8577227026449615,11.9,906.3,122.3897435897436,150.11239963313068
51,#12 HYPER classified in (x types of) HYPO,"1:[tag=""N.*""] "",|\(""? [tag=""IN/that|WDT""]? [tag=""MD""]* [lemma=""be|,|\(""] [tag=""RB.*""]* [word=""classified|categori.ed""] ([word=""by""] [tag!=""V.*""]*)? [word=""in|into""] [tag!=""V.*""]* [lemma=""type|kind|example|group|class|sort|category|family|species|subtype|subfamily|subgroup|subclass|subcategory|subspecies""]? [tag!=""V.*""]* 2:[tag=""N.*"" & lemma!=""type|kind|example|group|class|sort|category|family|species|subtype|subfamily|subgroup|subclass|subcategory|subspecies""] within <s/>",471.0,43,1.0,271.0,50.48837209302326,70.19814544186548,0.034945439859474604,9.470214201917617,1.7643383705795197,2.453105069785361,10.5,2483.5,145.21162790697676,371.3475891997007
55,#13 HYPER divided into (x) categories (:|of) HYPO,"1:[tag=""N.*""] "",|\(""? [tag=""IN/that|WDT""]? [lemma=""be|,|\(""] [word=""divided""] [tag!=""V.*""]* [word=""in|into""] [tag!=""V.*""]* [lemma=""type|kind|example|group|class|sort|category|family|species|subtype|subfamily|subgroup|subclass|subcategory|subspecies""] [tag!=""V.*""]* 2:[tag=""N.*"" & lemma!=""type|kind|example|group|class|sort|category|family|species|subtype|subfamily|subgroup|subclass|subcategory|subspecies""] within <s/>",118.0,33,1.0,77.0,18.333333333333332,19.21858909146732,0.034945439859474604,2.6907988691795444,0.6406663974237011,0.6716020492798259,13.4,650.0,133.5939393939394,141.0046008544445
59,"#14 type of HYPER is|,|( known/referred/termed/called (to) (as) HYPO","[lemma=""type|kind|example|group|class|sort|category|family|species|subtype|subfamily|subgroup|subclass|subcategory|subspecies""] [word=""of""] 1:[tag=""N.*""] "",|\(""? [tag=""IN/that|WDT""]? [lemma=""be|,|\(""]? [tag=""RB.*""]* [word=""known|referred|termed|named|called""] [word=""to""]? [word=""as""]? [tag!=""V.*""]* 2:[tag=""N.*""] within <s/>",409.0,41,1.0,270.0,44.707317073170735,64.27022790625495,0.034945439859474604,9.435268762058143,1.5623168600589497,2.2459513840527587,11.7,520.0,108.32439024390244,104.80261394757242
63,#15 HYPO is a HYPER that,"2:[tag=""N.*""] [tag!=""V.*""]{0,4} [lemma=""be""] [tag=""DT.*""] [tag=""RB.*""]* [tag=""JJ.*""]* 1:[tag=""N.*""] [tag=""IN/that|WDT""] within <s/>",4010.0,57,1.0,1829.0,326.29824561403507,522.488959723152,0.034945439859474604,63.91520950297905,11.402635718357336,18.258606519244854,21.6,420.2,83.60701754385966,53.84778102487844
67,#16 define HYPO as a HYPER,"[lemma=""define""] [tag=""DT.*""]? [word=""and""]? [tag!=""V.*|IN""]{0,3} 2:[tag=""N.*""] [word=""as""] [tag=""DT.*""]? [lemma=""type|kind|example|group|class|sort|category|family|species|subtype|subfamily|subgroup|subclass|subcategory|subspecies""]? [word=""of""]? [tag!=""V.*""]{0,2} 1:[tag=""N.*"" & lemma!=""type|kind|example|group|class|sort|category|family|species|subtype|subfamily|subgroup|subclass|subcategory|subspecies""] within <s/>",264.0,42,1.0,156.0,29.071428571428573,40.127475446560126,0.034945439859474604,5.451488618078038,1.0159138587718688,1.4022722799303105,16.6,2127.6,144.0404761904762,329.67748989900593
71,#17 HYPO refers to HYPER,"2:[tag=""N.*""] [tag!=""V.*""]{0,4} [lemma=""refer""] [word=""to""] [tag=""DT.*""]? [lemma=""type|kind|example|group|class|sort|category|family|species|subtype|subfamily|subgroup|subclass|subcategory|subspecies""]? [word=""of""]? [tag!=""V.*""]{0,3} 1:[tag=""N.*"" & lemma!=""type|kind|example|group|class|sort|category|family|species|subtype|subfamily|subgroup|subclass|subcategory|subspecies""] within <s/>",6340.0,53,2.0,3480.0,547.433962264151,854.0874011624239,0.06989087971894921,121.61013071097162,19.130320605335775,29.846459912056442,20.9,509.4,100.3320754716981,95.10022400197049
74,#18 X type of HYPER: HYPO,"([tag=""DT""]|[tag=""CD""]|[word=""some|several|any|various|distinct|different""]) []{0,2} [lemma=""type|kind|example|group|class|sort|category|family|species|subtype|subfamily|subgroup|subclass|subcategory|subspecies""] [word=""of""] 1:[tag=""N.*""] [word="":""] [tag!=""V.*""]* 2:[tag=""N.*""] within <s/>",574.0,40,1.0,262.0,65.825,81.38981461507898,0.034945439859474604,9.155705243182346,2.300283578749916,2.8442028718050296,6.9,190.7,85.35999999999999,50.07535757133878
82,#1 WHOLE composed of PART,"1:[tag=""N.*""] [tag!=""V.*""]{0,7} ([tag=""IN/that|WDT""] [tag=""V.*""])? [tag!=""V.*""]{0,7} [lemma=""be""]? [tag=""RB.*""]* [word=""comprised|composed|constituted""] [tag=""RB.*""]* ([word=""in""] [tag=""JJ.*""]? [lemma=""part""])? [word=""of|by""] [tag!=""V.*""]{0,7} 2:[tag=""N.*""] within <s/>",10024.0,51,1.0,4396.0,873.1176470588235,1329.4811566480937,0.034945439859474604,153.62015362225034,30.511480225540083,46.45930380395069,4.6,218.6,71.86470588235294,47.37191076378242
86,#2 WHOLE comprises PART,"1:[tag=""N.*""] [lemma=""type|kind|example|group|class|sort|category|family|species|subtype|subfamily|subgroup|subclass|subcategory|subspecies""]? "",|\(""? [tag=""IN/that|WDT""]? [word="",|\(""]? [tag=""RB.*""]* [lemma=""comprise"" & tag!=""VVN""] [tag!=""V.*""]* 2:[tag=""N.*"" & lemma!=""part|component|element|fraction|constituent|piece|portion|percent|percentage|region|area|zone|section|segment|fragment|content|concentration|volume|load|amount|mixture|composition|level""] within <s/>",3981.0,54,1.0,2108.0,335.9074074074074,514.7086103116992,0.034945439859474604,73.66498722377246,11.73843210390759,17.986718786801234,7.2,4437.2,186.73333333333326,600.5047449265037
90,#3 PART composes WHOLE,"2:[tag=""N.*""] [tag!=""V.*""]{0,7} ([tag=""IN/that|WDT""] [tag=""V.*""])? [tag!=""V.*""]{0,10} [lemma=""compose"" & tag!=""VVN""] [tag!=""V.*""]{0,7} 1:[tag=""N.*"" & lemma!=""part|component|element|fraction|constituent|piece|portion|percent|percentage|region|area|zone|section|segment|fragment|content|concentration|volume|load|amount|mixture|composition|level|threat""] within <s/>",515.0,35,1.0,288.0,63.68571428571428,85.4485643112694,0.034945439859474604,10.064286679528685,2.225525298479111,2.986037665217913,14.3,347.3,87.99714285714285,71.31897893480053
94,#4 PART is/constitutes part/element of WHOLE,"2:[tag=""N.*""] [tag!=""V.*""]{0,5} ([tag=""IN/that|WDT""] [tag=""V.*""])? [tag!=""V.*""]{0,5}[lemma=""be|constitute""] [tag=""DT|JJ.*|RB.*|IN|,"" & word!=""in|on|at|though|but|over|with""]*  [lemma=""part|component|element|fraction|constituent|piece|portion|percent|percentage|section|segment|fragment|content|volume|load|mixture|composition|level|proportion|threat""] [word=""of""] [tag!=""V.*""]{0,7}  1:[tag=""N.*""] within <s/>",12757.0,52,4.0,6720.0,1102.7884615384614,1653.5420369919682,0.13978175943789842,234.83335585566934,38.53742786041483,57.78375380881595,16.8,177.7,81.35769230769232,32.94988081238729
98,#5 WHOLE has/includes x part :/such as/namely PART,"1:[tag=""N.*""] [tag!=""V.*""]{0,5} ([tag=""IN/that|WDT""] [tag=""V.*""])? [tag!=""V.*""]{0,5} [lemma=""have|include|possess""] [tag!=""V.*""]{0,5} [lemma=""element|part|component|constituent|piece|portion|section""] "",|\(""? ([tag="":""] | [word=""such""] [word=""as""] | [word=""especially|primarily|namely|usually|typically|characteristically|generally|mainly""])  [tag!=""V.*""]{0,7} 2:[tag=""N.*""] within <s/>",272.0,36,1.0,133.0,34.47222222222222,42.56993312596587,0.034945439859474604,4.6477435013101225,1.2046469684891103,1.4876250378752962,10.8,2065.0,142.69166666666666,334.4356153069142
102,#6 WHOLE has/includes a x fraction of PART,"1:[tag=""N.*""] [tag!=""V.*""]{0,5} ([tag=""IN/that|WDT""] [tag=""V.*""])? [tag!=""V.*""]{0,5} [lemma=""have|include|possess""] [tag!=""V.*""]{0,5} [lemma=""fraction|percentage|percent|portion|amount|fragment|content|concentration|volume|load|mixture|composition|proportion""] [word=""of""] [tag!=""V.*""]{0,5} 2:[tag=""N.*"" & lemma!=""fraction|percentage|percent|portion|amount|fragment|content|concentration|volume|load|mixture|composition|proportion""] within <s/>",1937.0,46,2.0,838.0,185.8913043478261,244.01486550899307,0.06989087971894921,29.284278602239716,6.496053396486247,8.527206807462301,10.3,942.3,114.54782608695652,144.96180453121733
106,#7 WHOLE part such as PART,"1:[tag=""N.*""] [lemma=""element|part|component|constituent|piece|portion|section|fragment|content""] "",|\(""? [word=""such""] [word=""as""] [tag!=""V.*""]{0,7} 2:[tag=""N.*""] within <s/>",200.0,39,1.0,112.0,23.153846153846153,29.400625182699827,0.034945439859474604,3.9138892642611554,0.8091213382847581,1.0274177791529913,12.0,1200.2,149.70000000000002,227.33584592427405
110,#8 part of the WHOLE :/such as/namely PART,"[lemma=""element|part|component|constituent|piece|portion|section|fragment|content""] [word=""of""] [tag!=""V.*""]{0,5} 1:[tag=""N.*""] [tag!=""V.*""]{0,5} "",|\(""? ([tag="":""] | [word=""such""] [word=""as""] | [word=""especially|primarily|namely|usually|typically|characteristically|generally|mainly""]) [tag!=""V.*""]{0,7} 2:[tag=""N.*""] within <s/>",1995.0,54,1.0,960.0,165.7037037037037,261.4201872955614,0.034945439859474604,33.54762226509561,5.790588812269976,9.135443433189627,35.1,490.9,96.77407407407406,76.06581357225797
114,#9 a part of the WHOLE is PART,"([tag=""DT""]|[tag=""CD""]|[word=""some|several|any|various|distinct|different""]) [tag=""RB.*""]* [tag=""JJ.*""]* [lemma=""element|part|component|constituent|piece|portion|section|fragment""][word=""of""] [tag!=""V.*""]{0,5} 1:[tag=""N.*""] [tag!=""V.*""]{0,5} [lemma=""be""] [tag!=""V.*""]{0,7} 2:[tag=""N.*""] within <s/>",1700.0,52,1.0,924.0,148.3653846153846,227.9403971669644,0.034945439859474604,32.289586430154536,5.1846936253047415,7.9654774407429105,17.8,279.7,80.16730769230769,46.76397021486103
